Epoca,Custo
148,0.913031101227
149,0.895870566368
150,0.880879282951
151,0.8709243536
152,0.855046093464
153,0.839713454247
154,0.829397559166
155,0.817476451397
156,0.803267598152
157,0.789508461952
158,0.782072424889
159,0.769605755806
160,0.756808519363
161,0.744585156441
162,0.738292336464
163,0.726447284222
164,0.714958369732
165,0.703804850578
166,0.69803237915
167,0.687600970268
168,0.677253544331
169,0.667174756527
170,0.660543382168
171,0.6527120471
172,0.643429636955
173,0.634503960609
174,0.626456975937
175,0.621656835079
176,0.613253474236
177,0.605153381824
178,0.597249865532
179,0.590869903564
180,0.585860610008
181,0.578480541706
182,0.571259617805
183,0.564258277416
184,0.558175325394
185,0.554118990898
186,0.54750841856
187,0.541078388691
188,0.534818291664
189,0.528732657433
190,0.524960875511
191,0.519874215126
192,0.514099299908
193,0.508488953114
194,0.503030538559
195,0.497687727213
196,0.494483888149
197,0.489851385355
198,0.484785705805
199,0.479833751917
200,0.474998325109
201,0.47053784132
202,0.466003328562
203,0.463568836451
204,0.45951706171
205,0.455077260733
206,0.450763374567
207,0.446545362473
208,0.442608267069
209,0.438688933849
210,0.434890925884
211,0.431324630976
212,0.429088920355
213,0.425262361765
214,0.421544075012
215,0.417996108532
216,0.414598762989
217,0.41116887331
218,0.407921850681
219,0.40460267663
220,0.401485204697
221,0.398435592651
222,0.396665245295
223,0.393442302942
224,0.390297889709
225,0.387205302715
226,0.384168952703
227,0.381412446499
228,0.378512024879
229,0.375816255808
230,0.37304610014
231,0.370399296284
232,0.36774417758
233,0.365158706903
234,0.362608581781
235,0.360911518335
236,0.358616232872
237,0.356025755405
238,0.353477418423
239,0.350974351168
240,0.348558157682
241,0.346394062042
242,0.344007194042
243,0.341900914907
244,0.33961814642
245,0.337513953447
246,0.335350453854
247,0.333230763674
248,0.331193506718
249,0.329074025154
250,0.327136695385
251,0.325050890446
252,0.323153465986
253,0.321186691523
254,0.319909274578
255,0.317901283503
256,0.315879315138
257,0.313943326473
258,0.31196346879
259,0.310167938471
260,0.308328002691
261,0.306520164013
262,0.304766088724
263,0.302958220243
264,0.301290631294
265,0.299483090639
266,0.297881126404
267,0.296085178852
268,0.294537395239
269,0.292801260948
270,0.291228473186
271,0.289571583271
272,0.287992328405
273,0.286405414343
274,0.284815728664
275,0.283297717571
276,0.28171235323
277,0.28025072813
278,0.278669863939
279,0.277261376381
280,0.275680094957
281,0.274314194918
282,0.272786945105
283,0.271393626928
284,0.269927114248
285,0.2685328722
286,0.267129719257
287,0.265720546246
288,0.264373034239
289,0.2629596591
290,0.261657804251
291,0.260260492563
292,0.258977711201
293,0.25761693716
294,0.256331562996
295,0.255020409822
296,0.253728151321
297,0.25245565176
298,0.251169532537
299,0.249936535954
300,0.248638063669
301,0.247454598546
302,0.246175289154
303,0.244998186827
304,0.243757396936
305,0.242559596896
306,0.241364985704
307,0.240173891187
308,0.239012807608
309,0.237811475992
310,0.236697107553
311,0.235500305891
312,0.23440746963
313,0.23323366046
314,0.23212787509
315,0.231004476547
316,0.22988319397
317,0.228801369667
318,0.22767329216
319,0.226629212499
320,0.225486248732
321,0.224477976561
322,0.223368287086
323,0.222340673208
324,0.221269324422
325,0.220228821039
326,0.21919734776
327,0.218146294355
328,0.217153668404
329,0.216101080179
330,0.215131670237
331,0.214099124074
332,0.213116079569
333,0.212115094066
334,0.211132198572
335,0.210161045194
336,0.209165886045
337,0.208227247
338,0.207237198949
339,0.206319361925
340,0.205347493291
341,0.204417139292
342,0.203477978706
343,0.202541708946
344,0.201629191637
345,0.200688794255
346,0.199805006385
347,0.198861151934
348,0.197992622852
349,0.197078615427
350,0.196186229587
351,0.195304483175
352,0.194407835603
353,0.193553835154
354,0.192657023668
355,0.191829353571
356,0.190940126777
357,0.190106064081
358,0.189241498709
359,0.188395664096
360,0.187559336424
361,0.186710566282
362,0.185903549194
363,0.185044497252
364,0.184259623289
365,0.183415919542
366,0.182617172599
367,0.181803867221
368,0.180994063616
369,0.180209353566
370,0.179391384125
371,0.178632885218
372,0.177817448974
373,0.177069932222
374,0.17627312243
375,0.175501033664
376,0.174733951688
377,0.173959374428
378,0.173223480582
379,0.172432675958
380,0.171720296144
381,0.170946851373
382,0.170213982463
383,0.169477015734
384,0.168730586767
385,0.168013259768
386,0.167261481285
387,0.166573837399
388,0.165822356939
389,0.165131509304
390,0.164402335882
391,0.163695946336
392,0.162999793887
393,0.162279710174
394,0.161608874798
395,0.160892367363
396,0.160222485662
397,0.159521743655
398,0.158842086792
399,0.158169060946
400,0.157477766275
401,0.156828001142
402,0.15613052249
403,0.155495882034
404,0.154814749956
405,0.154161527753
406,0.153506249189
407,0.152843758464
408,0.152211666107
409,0.151542425156
410,0.150934278965
411,0.150272876024
412,0.149644762278
413,0.149011105299
414,0.148371547461
415,0.147765919566
416,0.147114530206
417,0.146532744169
418,0.145890146494
419,0.145287424326
420,0.144672200084
421,0.144059300423
422,0.143467396498
423,0.142840415239
424,0.142273396254
425,0.141655251384
426,0.141072764993
427,0.140481188893
428,0.139886334538
429,0.139319449663
430,0.138712599874
431,0.138163715601
432,0.137572914362
433,0.137003019452
434,0.136430218816
435,0.135855823755
436,0.135308504105
437,0.134725227952
438,0.134191840887
439,0.133617654443
440,0.133066102862
441,0.132524937391
442,0.131961077452
443,0.131433114409
444,0.130866095424
445,0.130354315042
446,0.129795923829
447,0.129270508885
448,0.128736644983
449,0.128190353513
450,0.12768086791
451,0.127134814858
452,0.126634925604
453,0.126104012132
454,0.125586465001
455,0.125073283911
456,0.124550238252
457,0.124058365822
458,0.123528644443
459,0.123044230044
460,0.122528746724
461,0.122024670243
462,0.121535286307
463,0.121023222804
464,0.120549224317
465,0.120037220418
466,0.119565032423
467,0.119065739214
468,0.118581414223
469,0.118107639253
470,0.117611095309
471,0.117155849934
472,0.116657570004
473,0.116195939481
474,0.115719221532
475,0.115247942507
476,0.114785730839
477,0.114298895001
478,0.113866589963
479,0.113383851945
480,0.112933799624
481,0.112475141883
482,0.112013593316
483,0.111571803689
484,0.111104294658
485,0.110675014555
486,0.110214449465
487,0.109774269164
488,0.109333440661
489,0.108881570399
490,0.108461238444
491,0.108010493219
492,0.107589684427
493,0.10714944452
494,0.106712006032
495,0.106289640069
496,0.105850204825
497,0.105444133282
498,0.105007752776
499,0.104593679309
500,0.104169726372
501,0.103744924068
502,0.103346705437
503,0.102913185954
504,0.10251750052
505,0.102095663548
506,0.101693533361
507,0.101287901402
508,0.100868962705
509,0.1004884094
