x,y,"f(x,y)","f*(x,y)"
-26.24,-17.94,2.898738764723203,2
-18.9,-19.42,2.276796545862951,2
-19.98,5.34,1.2553380878847018,2
-34.06,-34.66,2.5692158529171247,2
-21.24,5.3,1.8662930354631702,2
45.72,37.4,2.264498127929765,2
-30.1,10.32,3.7103355703944567,2
30.3,25.54,0.9363564252764243,2
30.64,46.38,2.9496703863841587,2
-29.04,-25.64,2.1108429681572103,2
12.02,-8.0,2.170252445477722,2
4.14,-5.8,3.577151154220412,2
37.78,-13.76,0.13712296281427938,2
-7.28,-45.7,2.014988992031212,2
30.96,20.82,3.1566511740874503,2
-42.62,31.98,0.6090115947856583,2
-29.94,23.64,3.367110423968668,2
12.82,10.2,3.4454354765419835,2
-18.02,46.14,-0.03167608414445855,2
0.04,8.9,1.9197345562740198,2
-30.04,24.24,2.72564743309029,2
8.4,29.26,0.638668098862202,2
-27.08,20.22,3.230035428913726,2
14.74,-4.8,2.6432390787706126,2
-27.02,15.78,2.860328684467585,2
-25.7,-12.2,3.8839145573459692,2
-37.82,-4.58,0.8394389512462235,2
-24.38,33.22,2.2250991126433743,2
1.24,-36.6,0.1986571406284905,2
-9.12,-30.62,1.9262206989433193,2
24.74,-14.2,1.1477614893310424,2
-15.12,10.28,3.4815770629164637,2
-34.46,-47.74,0.5165447027748906,2
29.26,25.2,2.236086975148305,2
-13.06,29.62,1.3665494633620974,2
-41.18,3.76,1.8247806966790585,2
-1.56,11.94,0.6512696206462392,2
42.6,-12.34,2.03732776819171,2
-37.54,28.58,3.84979626356956,2
47.52,-43.24,0.29143082932650444,2
-28.34,10.82,0.8693574832020161,2
49.02,-19.78,1.02739393785413,2
-37.02,8.08,3.41485856108045,2
-11.68,38.14,0.9524929745242459,2
17.68,1.88,3.602052632130129,2
-33.18,2.64,0.8358838974530196,2
46.96,-33.22,2.801480943523565,2
37.2,-37.84,3.968232390316744,2
35.88,-25.08,1.2838834704897173,2
-19.22,-35.98,1.7744195940157423,2
25.16,-7.54,1.8697212621858421,2
9.62,-20.24,1.8849208490992218,2
15.74,-5.46,4.087502217856915,2
35.26,33.7,3.861879917525213,2
-15.42,40.28,2.8923706760937025,2
48.12,21.36,1.770911346223759,2
9.98,-33.86,1.6835079686370604,2
-32.9,13.56,0.8419480781238626,2
38.04,-46.48,0.4745172765536241,2
-34.9,6.84,0.9879254382433575,2
16.94,-2.28,1.9392131655895375,2
28.98,-43.48,2.0214140163435865,2
15.22,-30.82,0.4718959622919765,2
-34.04,31.78,1.490548987335676,2
-38.28,33.78,2.387564604226786,2
-30.08,13.5,3.943378274707565,2
6.66,-17.82,1.6006956078016428,2
16.76,7.44,2.3359062493421416,2
12.62,-34.7,2.970848278091828,2
16.88,34.04,1.9173836692003374,2
-25.22,30.86,3.381014163000764,2
-32.26,8.04,3.8098372250820516,2
-43.12,45.38,1.8137423187916943,2
1.78,13.64,2.237657848100948,2
-36.18,7.42,1.8310283543255625,2
-24.02,-3.58,2.3427649396908743,2
48.72,45.18,2.994092557353018,2
-23.68,-31.76,3.2077120609016516,2
-18.22,-12.64,2.4566103702707207,2
-28.24,3.16,0.4205521095361311,2
48.2,-14.68,2.2860480630417013,2
-47.0,15.04,4.0016255824049285,2
-24.58,-26.82,2.5282109551761254,2
-46.3,-43.0,1.0838678366384906,2
4.7,-37.76,2.2858923588863362,2
0.82,17.82,1.4962654428357063,2
42.32,-34.9,0.07846918697900129,2
14.16,-34.2,1.507900956019178,2
21.42,-16.06,1.1688964413504275,2
-6.1,-26.96,3.9914132821285753,2
40.96,-22.9,2.06735021834799,2
40.34,-34.3,3.726298922701998,2
-28.18,16.98,3.8279168629438542,2
3.9,8.64,0.05523931484117828,2
28.78,-28.92,2.4619912724552417,2
-24.2,-28.2,2.092060658244901,2
18.82,41.76,2.8659097527309894,2
20.76,-31.42,-0.014000744315022295,2
-36.72,29.98,1.9215182674283662,2
-49.82,3.0,1.154826290195305,2
-5.8,-7.2,2.2506711657320095,2
49.84,-36.88,3.923588736723488,2
-20.12,12.54,0.32826447378090773,2
14.62,-43.54,1.7235857149213352,2
29.14,17.48,2.033262046470358,2
46.86,41.28,0.5150982104147164,2
-34.14,-38.44,2.785576872828504,2
6.82,-16.64,0.9334326365569654,2
37.92,-21.4,0.7528714279286692,2
24.96,19.7,2.2657145011235214,2
-37.74,14.62,1.358352394216954,2
22.36,40.08,0.5082441891597653,2
-8.04,-40.58,2.4837808703983413,2
-31.82,-30.76,0.9579509083583742,2
-6.72,-23.1,3.311891213750985,2
18.98,2.22,1.0956700453829429,2
-18.64,22.4,0.47857398472749235,2
13.1,30.48,0.029281134128497532,2
49.76,39.28,2.19896678695965,2
15.26,-8.48,1.7410191860886295,2
-35.88,32.94,1.3053438884974353,2
9.42,-39.32,1.6882366846340715,2
-13.24,0.1,0.8328583742276068,2
-5.46,2.94,0.687628288702576,2
0.64,12.8,0.48619768532426844,2
-6.44,13.42,3.657715184602778,2
40.82,-21.28,1.744731506559925,2
-36.16,23.0,2.1701030956613208,2
-49.96,-46.18,3.768070596813751,2
38.06,-33.84,2.2868313167409084,2
14.96,17.66,3.1368454305792923,2
