x,y,"f(x,y)","f*(x,y)"
15.37,-12.46,3.7399098138843385,2
-19.03,23.36,2.739441007521287,2
1.09,-13.28,2.4773341998581406,2
4.11,30.48,0.3577642751796448,2
-41.06,33.45,2.028538942505795,2
-0.74,13.92,1.5850208354373212,2
20.87,19.79,0.7198236640421984,2
-26.54,7.31,1.9050658072550788,2
5.33,2.51,0.912554010219748,2
34.0,-20.45,1.6394480803697644,2
-38.13,-8.71,3.1589541845892253,2
-9.38,2.79,2.455333433580157,2
-13.46,-32.6,0.8285561361330611,2
-9.33,-11.82,2.8182420521920064,2
-13.83,19.84,0.48973001087425927,2
-9.54,-10.51,2.268366237384958,2
-18.79,-0.66,0.6611392027314373,2
43.03,13.89,1.384584426894762,2
-15.65,22.59,2.2096429875103363,2
-21.08,3.01,1.4537933826206446,2
40.83,-2.02,1.6044407225322785,2
31.02,43.23,2.925860707165073,2
11.65,27.39,2.2052472804072347,2
-13.42,-37.17,-0.04466358676164717,2
-40.73,-31.39,2.8988522986747522,2
9.79,2.97,2.2262592794376963,2
-35.1,-14.6,2.2870612414108145,2
-15.76,-21.57,0.6964434653432252,2
-44.94,35.7,1.1687401959266506,2
42.85,-42.03,0.5237569514669145,2
-47.5,40.42,0.2158831895731943,2
-37.1,-23.18,0.9377125078579072,2
33.04,20.22,0.249121258287768,2
-0.05,-45.64,2.0537398209090587,2
-17.96,31.93,1.3437069374619226,2
31.18,-14.48,2.5462962046381725,2
-19.93,-34.48,2.2674417937292786,2
-31.6,45.73,2.228540421377335,2
31.96,-16.2,1.8507851155741468,2
34.94,-17.34,0.0025870507256775532,2
20.85,-44.72,1.9926065178136634,2
-10.57,-10.63,0.30115829122042426,2
39.46,-48.86,1.5279754687824965,2
-24.47,-21.31,2.06290744091798,2
-4.82,13.55,1.975996672738615,2
-28.19,3.96,1.187214392640818,2
-38.12,49.9,1.3413228084658702,2
3.62,20.68,1.934336974008434,2
16.56,-43.47,1.7046961125303386,2
22.7,-37.15,3.8596877930381757,2
1.36,32.59,0.9940761969591281,2
25.47,30.46,4.080455358673358,2
14.14,11.88,1.069680711930436,2
-20.84,42.28,3.8282023885263383,2
-7.15,43.15,1.913018720237139,2
-1.93,22.53,2.7886778413614968,2
-17.39,-48.6,1.6083895341099659,2
40.62,-45.66,1.753646632568105,2
25.96,7.65,0.6169696822280493,2
-13.92,25.26,3.154396573999362,2
16.64,30.47,2.72928791911509,2
-19.63,-36.69,2.1185047035309674,2
-32.62,4.87,3.7306725862709653,2
41.6,32.89,1.6022696999988735,2
-23.9,-24.29,1.4642316991070337,2
-26.94,14.12,1.069284597999487,2
-24.3,12.27,2.235784827873898,2
-17.37,-26.65,3.067618830098249,2
43.53,-18.84,2.063549027154993,2
-49.85,-7.29,0.6741774320003537,2
-31.82,42.36,1.0462222571046498,2
-41.29,-49.71,2.5475483811292143,2
32.31,24.26,3.0200366314480975,2
5.73,-33.15,2.542373471086446,2
38.9,30.55,2.3720213248847237,2
33.52,-49.85,2.0102431928165343,2
29.26,-17.2,1.674657868818609,2
-42.15,-41.94,3.7747141960251422,2
25.44,-49.81,2.77543712592688,2
39.21,-35.74,2.048553849863688,2
-24.37,42.06,1.5585109188431345,2
40.55,-43.39,2.5994928343110577,2
-37.74,3.87,0.09031039199149227,2
25.29,22.46,-0.047196253866154336,2
-42.22,-4.74,3.6366268881810626,2
1.74,6.55,1.6585191527521004,2
-47.37,35.95,0.20642950703819207,2
-14.05,1.59,3.1496597295400113,2
41.12,-19.77,2.0526307139808186,2
-6.77,18.74,2.160435331340127,2
-2.79,-33.42,1.3106298159126473,2
-37.56,-3.74,0.9591623112225527,2
30.62,-48.77,0.35441060494919974,2
-13.36,45.25,3.8499994266373427,2
-37.62,0.36,3.9018969501601815,2
-17.07,-44.44,2.162892563909714,2
-27.0,-24.91,1.3485834692772056,2
-5.03,42.41,2.318620680531036,2
-34.45,-34.66,3.404885450017508,2
-1.76,-11.61,3.2299701151144222,2
-49.34,-16.7,3.9401246901975044,2
-36.16,37.74,2.1591746880023637,2
37.33,-48.9,1.7374116708436949,2
-26.12,11.8,1.0184682894520312,2
42.79,-26.68,0.7333249326814195,2
49.0,25.83,2.374382492116512,2
-25.36,-11.9,0.050981918815409255,2
11.45,-34.75,1.5262100988030107,2
-31.56,-41.69,1.61366007834423,2
-16.77,-6.46,2.3527608095522545,2
-29.53,42.47,2.073508524726898,2
9.87,49.25,1.7782793862155777,2
